date,category,amount,count
2026-07-14,保険,59900,1
2026-07-14,物販,32600,6
2026-07-14,サービス,75000,4
2026-07-15,保険,87900,2
2026-07-15,物販,33100,1
2026-07-16,保険,67100,1
2026-07-16,物販,28000,4
2026-07-16,サービス,72200,5
2026-07-17,保険,98500,5
2026-07-17,物販,37500,2
2026-07-17,サービス,60100,6
2026-07-18,保険,115400,1
2026-07-18,物販,31300,7
2026-07-18,サービス,50600,8
2026-07-19,保険,69500,3
2026-07-19,物販,23000,5
2026-07-19,サービス,73100,8
2026-07-20,保険,142000,2
2026-07-20,物販,20400,6
2026-07-20,サービス,51800,1
2026-07-21,物販,33400,6
2026-07-21,サービス,44200,8
2026-07-22,保険,90100,2
2026-07-22,サービス,61500,1
2026-07-23,保険,75600,8
2026-07-23,物販,27700,6
2026-07-23,サービス,50300,3
2026-07-24,保険,93800,4
2026-07-24,物販,19200,4
2026-07-24,サービス,75400,8
2026-07-25,保険,89400,5
2026-07-26,物販,28700,6
2026-07-26,サービス,45900,4
2026-07-27,保険,62400,4
2026-07-27,物販,15300,3
2026-07-27,サービス,25200,7
